"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01262","Stockbridge","MA","Pittsfield, MA","""Pittsfield, MA""",,5.69519927536232,,,,402700,-0.346448898787429,-0.420375865479723,0.00402036255276883,22.8,0.0615384615384615,0,146
"Zip","01266","West Stockbridge","MA","Pittsfield, MA","""Pittsfield, MA""",,7.33242753623188,,,,379000,-0.0263782643102084,2.18387705581019,0.011131926121372,15.7,0.0641025641025641,0,146
"Zip","01267","Town of Williamstown","MA","Pittsfield, MA","""Pittsfield, MA""",,2.23203502415459,0,,,290600,-0.13745704467354,1.32496513249651,0.00648313833448033,30.8,0.0891566265060241,0.0405405405405405,146
"Zip","01270","Windsor","MA","Pittsfield, MA","""Pittsfield, MA""",,4.57050120772947,50,,24.6124,212700,-1.06976744186047,6.45645645645646,0.0105829807240245,16.3,0.0547945205479452,0,146
"Zip","01301","Town of Greenfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,2.95289855072464,100,,3.2489,171700,0.116618075801749,4.3134872417983,,36.5,0.101629913710451,0.0754716981132075,100
"Zip","01330","Ashfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,7.18976449275362,,,,242600,0.247933884297521,1.76174496644295,,3.4,0.0473684210526316,0,100
"Zip","01331","Town of Athol","MA","Worcester, MA","""Worcester, MA-CT""",,0.822010869565217,66.67,,12.0396,141600,0,6.38617580766341,0.0300423728813559,50.4,0.184445612191277,0.148148148148148,103
"Zip","01337","Bernardston","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.951841787439614,100,,,208300,-0.0479846449136276,1.708984375,,62.3,0.0981432360742705,0.108108108108108,100
"Zip","01338","Shelburne Falls","MA","Greenfield Town, MA","""Greenfield Town, MA""",,4.63390700483092,,,,207000,-0.0482858522452921,1.5203531142717,,32.1,0.049645390070922,0,100
"Zip","01339","Charlemont","MA","Greenfield Town, MA","""Greenfield Town, MA""",,2.9098731884058,,,,204500,0.195982361587457,0.738916256157635,,4.8,0.0535714285714286,0.111111111111111,100
"Zip","01340","Colrain","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.612167874396135,,,,180400,-0.331491712707182,2.03619909502262,,43.5,0.0931372549019608,0.105263157894737,100
"Zip","01341","Conway","MA","Greenfield Town, MA","""Greenfield Town, MA""",,6.92179951690821,,,,298600,1.53009180550833,8.6608442503639,,37.5,0.088339222614841,0.04,100
"Zip","01351","Montague","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.8443538647343,,,,209200,0.335731414868105,1.454898157129,,19.1,0.0517241379310345,0.0555555555555556,100
"Zip","01354","Gill","MA","Greenfield Town, MA","""Greenfield Town, MA""",,1.23565821256039,,,,196400,-0.70778564206269,-1.05793450881612,,22.2,0.0595744680851064,0.0714285714285714,100
"Zip","01360","Town of Northfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,2.06295289855072,100,,,209200,-0.143198090692124,-0.946969696969697,,44.1,0.0483870967741936,0.0476190476190476,100
"Zip","01364","Town of Orange","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.2506038647343,50,,11.9955,139900,0.358680057388809,2.86764705882353,,53.6,0.190243902439024,0.0923076923076923,100
